Dataset,Fold,original_knn,original_mlp,pca_knn,pca_mlp,autoencoder_knn,autoencoder_mlp
zoo,F1,0.8902,0.8568,0.8915,0.7718,0.8636,0.7473
zoo,F2,0.9139,0.8727,0.9143,0.7755,0.9139,0.7056
zoo,F3,0.9097,0.8417,0.8947,0.7619,0.8932,0.7704
zoo,F4,0.9088,0.9087,0.8766,0.8795,0.9110,0.8249
zoo,F5,0.8934,0.8738,0.9317,0.8996,0.9317,0.8265
cinema,F1,0.9139,0.9867,0.8839,0.8643,0.8602,0.9058
cinema,F2,0.9123,0.9900,0.8731,0.8719,0.8844,0.9019
cinema,F3,0.9076,0.9883,0.8891,0.8700,0.8667,0.9019
cinema,F4,0.9072,0.9867,0.9005,0.8961,0.8569,0.9252
cinema,F5,0.8863,0.9817,0.8753,0.8501,0.8282,0.8753
